block,country,area,source_type,source_title,url,status,last_checked,notes
aviation,FR,France,SIA eAIP,"SIA - Produits eAIP en libre disposition",https://www.sia.aviation-civile.gouv.fr/produits-numeriques-en-libre-disposition/eaip.html,recheck_after_airac,2026-08-04,"AIRAC 07/26 en vigueur jusqu'au 2026-08-05; AIRAC 08/26 à utiliser à partir du 2026-08-06"
aviation,FR,Annecy-Meythet,SIA eAIP,"AIP France - AD 2 LFLP",https://www.sia.aviation-civile.gouv.fr/media/dvd/eAIP_09_JUL_2026/FRANCE/AIRAC-2026-07-09/html/eAIP/FR-AD-2.LFLP-fr-FR.html,pre_airac_recheck,2026-08-04,"118.200 MHz pour TWR AFIS ou A/A selon horaires; revalidation obligatoire AIRAC 08/26"
aviation,FR,Chambéry,SIA eAIP,"AIP France - AD 2 LFLB",https://www.sia.aviation-civile.gouv.fr/media/dvd/eAIP_09_JUL_2026/FRANCE/AIRAC-2026-07-09/html/eAIP/FR-AD-2.LFLB-fr-FR.html,pre_airac_recheck,2026-08-04,"123.700 FIS APP A/A; 121.205 APP; 118.300 TWR; 127.100 ATIS"
aviation,FR,Grenoble-Alpes-Isère,SIA eAIP,"AIP France - AD 2 LFLS",https://www.sia.aviation-civile.gouv.fr/media/dvd/eAIP_09_JUL_2026/FRANCE/AIRAC-2026-07-09/html/eAIP/FR-AD-2.LFLS-fr-FR.html,pre_airac_recheck,2026-08-04,"121.930 GND; 119.300 TWR VDF; 133.855 ATIS"
aviation,FR,"Annemasse, Grenoble-Le Versoud",SIA eAIP,"AIP France - ENR 5.5",https://www.sia.aviation-civile.gouv.fr/media/dvd/eAIP_11_JUN_2026/FRANCE/AIRAC-2026-06-11/html/eAIP/FR-ENR-5.5-fr-FR.html,pre_airac_recheck,2026-08-04,"Annemasse A/A 125.875; Genève Information 126.350; Le Versoud 121.000"
aviation,FR,"Alpes du Nord, bassin genevois",SIA eAIP,"AIP France - ENR 2.1",https://www.sia.aviation-civile.gouv.fr/media/dvd/eAIP_11_JUN_2026/FRANCE/AIRAC-2026-06-11/html/eAIP/FR-ENR-2.1-fr-FR.html,pre_airac_recheck,2026-08-04,"Genève Information 126.350 pour la partie Alpes 6 Mont Blanc"
aviation,CH,Switzerland,Skyguide/Skybriefing,"Skybriefing - cycles AIP et NOTAM",https://www.skybriefing.com/fr/web/guest/home,recheck_after_airac,2026-08-04,"AIRAC AIP AMDT annoncée au 2026-08-06; contrôler Genève Lausanne Sion après prise d'effet; NOTAM indispensables"
radioamateur,FR,"Ain, Isère, Savoie, Haute-Savoie",REF,"REF - liste des balises et relais",https://www.r-e-f.org/index.php?dept=DPT01&limitstart=3,active,2026-08-04,"Base mise à jour le 2026-05-13; 19 fréquences analogiques uniques retenues après fusion des sorties partagées"
radioamateur,FR,Ain,ADRA01,"ADRA 01 - liste départementale des relais",https://adra01.r-e-f.org/F5JBR-relais.html,active,2026-08-04,"Recoupement local pour F1ZPY, F5ZDT et F6ZJD; la page renvoie vers la base REF comme référence officielle"
radioamateur,FR,Haute-Savoie,REF74,"REF74 - relais Haute-Savoie",https://ref74.r-e-f.org/ref74/index.php/accueil,conflict_review,2026-08-04,"F1ZJV est décrit analogique localement mais classé DMR/C4FM dans la base nationale; exclusion maintenue"
